iter	RMSE
0	0.4439257172
1	0.4417496296
2	0.439743094
3	0.4368918601
4	0.4350559393
5	0.4331538003
6	0.4314512695
7	0.4298122875
8	0.4282783834
9	0.426828164
10	0.4253810747
11	0.4240545623
12	0.4227981881
13	0.4206582846
14	0.4195124261
15	0.4183781082
16	0.4173377914
17	0.4163397718
18	0.4152824548
19	0.414218259
20	0.4133171235
21	0.412490021
22	0.4117004215
23	0.4109232798
24	0.4102172906
25	0.4095415231
26	0.4087721069
27	0.4081630755
28	0.407583266
29	0.4069922857
30	0.4064525298
31	0.4058826481
32	0.4048696504
33	0.4043883705
34	0.4039085786
35	0.4034609939
36	0.4030698407
37	0.4026955869
38	0.4022947228
39	0.4019246545
40	0.4015711659
41	0.4012610239
42	0.4009717865
43	0.4005811814
44	0.4003118041
45	0.400062347
46	0.3997850294
47	0.3995153873
48	0.3992849743
49	0.3990350252
50	0.3988116208
51	0.3985970631
52	0.3983764935
53	0.3981646508
54	0.3979886106
55	0.3968744876
56	0.3967269127
57	0.3965286751
58	0.3963960147
59	0.3949532078
60	0.3948298835
61	0.3946904551
62	0.3945369213
63	0.3944311679
64	0.3942465594
65	0.3940516203
66	0.3939437501
67	0.3938254244
68	0.393713311
69	0.393635919
70	0.3935641508
71	0.3934931682
72	0.3934193847
73	0.3933488271
74	0.3932668072
75	0.3931802558
76	0.3930539414
77	0.3929131558
78	0.3928368939
79	0.3927704389
80	0.3927090786
81	0.3921726648
82	0.3921157848
83	0.3920755316
84	0.3920063408
85	0.3919244629
86	0.3918658496
87	0.3918252262
88	0.3917863656
89	0.3917086273
90	0.3916775905
91	0.3916319501
92	0.3915931383
93	0.3914723021
94	0.3914500215
95	0.3914081322
96	0.3913834863
97	0.3912421547
98	0.3912232114
99	0.3911464547
100	0.3911202335
101	0.3910618035
102	0.3909807484
103	0.3909292397
104	0.3908844218
105	0.3908716111
106	0.3908586356
107	0.3908303146
108	0.3903410408
109	0.3902162768
110	0.3901981984
111	0.3901884671
112	0.3901789638
113	0.3901617922
114	0.3901493394
115	0.3901381865
116	0.3900347648
117	0.3900172355
118	0.3899877273
119	0.3898965259
120	0.3898705018
121	0.3898634764
122	0.3898575725
123	0.3897914166
124	0.3897636323
125	0.3897576787
126	0.3884685169
127	0.3884181173
128	0.388355387
129	0.3882394625
130	0.3882111513
131	0.3881980878
132	0.3881841337
133	0.3881599104
134	0.3881396472
135	0.3881062577
136	0.3880881183
137	0.3880816434
138	0.38807369
139	0.3880447038
140	0.388022352
141	0.3880145741
142	0.3867820281
143	0.3866848553
144	0.3866742886
145	0.3866406007
146	0.3866094834
147	0.3865974528
148	0.3865942751
149	0.3865711066
150	0.3865395369
151	0.3864899254
152	0.3860350846
153	0.38602818
154	0.3859982548
155	0.3859934264
156	0.385975471
157	0.3847830571
158	0.3847806362
159	0.3847185089
160	0.3835673563
161	0.3834569058
162	0.3833733652
163	0.3833701346
164	0.3833645273
165	0.3833602703
166	0.3833575753
167	0.3832964877
168	0.3832848868
169	0.3832841092
170	0.3832423157
171	0.3832023221
172	0.3831998914
173	0.3831409155
174	0.3831367189
175	0.383111368
176	0.3830854365
177	0.38308143
178	0.3830730705
179	0.3830586802
180	0.3830565906
181	0.3829772794
182	0.3829055203
183	0.3817936773
184	0.3817843923
185	0.3817368486
186	0.3817153371
187	0.3816891298
188	0.3816842726
189	0.3816619113
190	0.3816598302
191	0.3816319483
192	0.3816171313
193	0.3816166139
194	0.381610007
195	0.3815652331
196	0.3815475856
197	0.3804732378
198	0.3804475544
199	0.3804449146
200	0.3804177757
201	0.3793804528
202	0.3793800757
203	0.3792899979
204	0.3792780362
205	0.379261254
206	0.3791666164
207	0.3787671053
208	0.3786938006
209	0.3786707426
210	0.3786692589
211	0.37768689
212	0.3776299578
213	0.3776058204
214	0.3775943466
215	0.3766552715
216	0.3766547671
217	0.3766544906
218	0.3766357966
219	0.3765845657
220	0.3765842491
221	0.3765603725
222	0.3764558366
223	0.3764537203
224	0.3764074205
225	0.3763861572
226	0.375632204
227	0.3755778146
228	0.3754999141
229	0.3754971177
230	0.3754698848
231	0.3754256766
232	0.375069088
233	0.3749848478
234	0.3749706542
235	0.3748821922
236	0.3748435885
237	0.3748144854
238	0.3747902201
239	0.3747619982
240	0.3747591965
241	0.3746920632
242	0.3746817305
243	0.3746478871
244	0.3746357222
245	0.3746250004
246	0.3746016055
247	0.3745135161
248	0.3744930309
249	0.3744609549
250	0.3743151634
251	0.3742624194
252	0.3742622403
253	0.3742616371
254	0.3742589455
255	0.3742384636
256	0.3735272275
257	0.3726741829
258	0.372652588
259	0.3726333512
260	0.3719688179
261	0.3719508546
262	0.3711498438
263	0.371133338
264	0.3710924597
265	0.3710923835
266	0.3710831315
267	0.3710339477
268	0.3709762752
