iter	Passed	Remaining
0	20	13899
1	45	15288
2	66	14741
3	90	15045
4	94	12516
5	119	13169
6	143	13514
7	166	13764
8	180	13193
9	202	13345
10	207	12391
11	229	12559
12	253	12787
13	276	12931
14	306	13358
15	330	13450
16	352	13499
17	394	14230
18	416	14226
19	436	14137
20	457	14093
21	463	13606
22	476	13371
23	501	13462
24	524	13487
25	553	13655
26	576	13678
27	597	13665
28	620	13675
29	639	13604
30	643	13214
31	663	13187
32	683	13142
33	706	13165
34	726	13132
35	750	13171
36	774	13212
37	801	13285
38	807	13017
39	814	12781
40	849	12986
41	873	13021
42	917	13341
43	926	13134
44	980	13578
45	1022	13826
46	1024	13532
47	1032	13332
48	1091	13793
49	1129	13962
50	1161	14054
51	1183	14024
52	1191	13824
53	1197	13619
54	1201	13393
55	1204	13159
56	1223	13111
57	1261	13266
58	1287	13288
59	1295	13125
60	1298	12923
61	1317	12877
62	1339	12862
63	1363	12866
64	1400	12991
65	1406	12829
66	1428	12812
67	1450	12795
68	1473	12792
69	1496	12784
70	1518	12765
71	1566	12969
72	1589	12959
73	1615	12964
74	1640	12970
75	1648	12838
76	1694	13005
77	1718	12995
78	1783	13294
79	1817	13358
80	1841	13346
81	1864	13325
82	1887	13304
83	1907	13262
84	1927	13217
85	1944	13157
86	1971	13168
87	1993	13141
88	2016	13119
89	2040	13105
90	2070	13127
91	2099	13142
92	2120	13107
93	2144	13095
94	2176	13130
95	2206	13148
96	2236	13164
97	2258	13137
98	2284	13131
99	2307	13104
100	2331	13086
101	2336	12962
102	2339	12834
103	2348	12733
104	2352	12614
105	2360	12513
106	2385	12506
107	2388	12383
108	2392	12267
109	2400	12178
110	2404	12066
111	2416	11998
112	2440	11987
113	2480	12054
114	2513	12088
115	2516	11975
116	2547	11997
117	2550	11888
118	2554	11786
119	2567	11724
120	2572	11627
121	2584	11564
122	2587	11464
123	2600	11408
124	2615	11362
125	2619	11266
126	2622	11171
127	2625	11076
128	2628	10983
129	2636	10909
130	2646	10850
131	2649	10758
132	2670	10743
133	2696	10747
134	2728	10771
135	2749	10756
136	2773	10751
137	2796	10739
138	2820	10734
139	2828	10667
140	2836	10600
141	2840	10521
142	2862	10510
143	2865	10427
144	2869	10350
145	2872	10271
146	2896	10267
147	2919	10258
148	2923	10181
149	2944	10169
150	2976	10190
151	2998	10179
152	3021	10170
153	3044	10162
154	3065	10145
155	3085	10125
156	3106	10110
157	3118	10066
158	3129	10018
159	3142	9978
160	3155	9935
161	3183	9944
162	3205	9931
163	3223	9905
164	3245	9892
165	3266	9877
166	3276	9830
167	3286	9782
168	3306	9762
169	3327	9748
170	3335	9693
171	3347	9653
172	3369	9640
173	3393	9633
174	3401	9583
175	3423	9571
176	3446	9561
177	3471	9556
178	3498	9556
179	3524	9553
180	3546	9543
181	3581	9564
182	3610	9569
183	3644	9586
184	3667	9575
185	3697	9582
186	3748	9642
187	3784	9662
188	3821	9684
189	3842	9666
190	3860	9640
191	3872	9599
192	3893	9582
193	3910	9555
194	3946	9573
195	3957	9530
196	3969	9489
197	3979	9446
198	4000	9429
199	4013	9391
200	4025	9352
201	4058	9362
202	4085	9358
203	4111	9350
204	4134	9338
205	4156	9321
206	4184	9319
207	4210	9312
208	4239	9311
209	4275	9324
210	4297	9306
211	4322	9297
212	4348	9289
213	4373	9278
214	4378	9225
215	4402	9211
216	4408	9163
217	4436	9157
218	4456	9137
219	4480	9123
220	4485	9071
221	4488	9018
222	4506	8992
223	4520	8960
224	4556	8971
225	4561	8921
226	4593	8924
227	4597	8871
228	4623	8863
229	4646	8848
230	4649	8796
231	4673	8782
232	4684	8746
233	4688	8695
234	4709	8678
235	4713	8627
236	4716	8577
237	4738	8560
238	4761	8546
239	4784	8531
240	4798	8501
241	4801	8452
242	4822	8435
243	4846	8422
244	4870	8408
245	4894	8396
246	4899	8351
247	4904	8305
248	4926	8290
249	4951	8278
250	4975	8265
251	4997	8249
252	5021	8236
253	5044	8222
254	5052	8183
