iter	RMSE
0	0.3921524945
1	0.3921333941
2	0.3920640318
3	0.392043893
4	0.3919924296
5	0.3918718492
6	0.3917901068
7	0.3917443322
8	0.3916971539
9	0.3911074967
10	0.3910663533
11	0.3909932163
12	0.3909379724
13	0.3909135744
14	0.390800342
15	0.3907752307
16	0.3907425785
17	0.3902505228
18	0.3902486267
19	0.3897769339
20	0.3896014472
21	0.3890956607
22	0.3885653444
23	0.3884474596
24	0.3883704776
25	0.3883464246
26	0.388326119
27	0.3883256206
28	0.3878407142
29	0.3878105624
30	0.3873870702
31	0.3869607593
32	0.386728851
33	0.3866578749
34	0.3866454285
35	0.3860521807
36	0.3857384548
37	0.3857267138
38	0.3857181067
39	0.3855910528
40	0.3855645455
41	0.3855496624
42	0.3846727527
43	0.3846414469
44	0.3846402074
45	0.3845982387
46	0.384506208
47	0.3844739992
48	0.3844675286
49	0.3844611312
50	0.3840356943
51	0.3839369983
52	0.3837568235
53	0.3836661567
54	0.3835945427
55	0.3835671151
56	0.3835438253
57	0.3835298719
58	0.3834334019
59	0.3834143674
60	0.3833455492
61	0.3831987412
62	0.3829407764
63	0.3827825589
64	0.3827312556
65	0.3826281638
66	0.382617739
67	0.3824962772
68	0.3823528248
69	0.3817780016
70	0.3811892926
71	0.3811743466
72	0.3811438094
73	0.3810549094
74	0.3810419461
75	0.3810295247
76	0.3809660815
77	0.3809053951
78	0.3808806414
79	0.3808454607
80	0.3807355331
81	0.3806489981
82	0.3806389843
83	0.3805671847
84	0.3805650856
85	0.3805553436
86	0.380546166
87	0.379627222
88	0.3795606354
89	0.3795198091
90	0.3794440223
91	0.3793482078
92	0.3793293755
93	0.3792986697
94	0.3792822519
95	0.3792096964
96	0.3790380716
97	0.3789840666
98	0.378933257
99	0.3788845183
100	0.378841299
101	0.3788227082
102	0.3787171931
103	0.3786660689
104	0.3786631797
105	0.3786298875
106	0.3786020401
107	0.3785440058
108	0.3785256697
109	0.3784914649
110	0.3784262641
111	0.3780946768
112	0.3779115812
113	0.377554555
114	0.3774874298
115	0.3774487302
116	0.3774270083
117	0.37740674
118	0.3773755031
119	0.3773279849
120	0.3768645234
121	0.376856387
122	0.3768469001
123	0.3767570485
124	0.3766044051
125	0.3763027874
126	0.3762846431
127	0.3761851936
128	0.3761113796
129	0.3760147726
130	0.3759412345
131	0.3759219416
132	0.3756532997
133	0.3756312087
134	0.3756086488
135	0.3751921208
136	0.3751899081
137	0.3751545601
138	0.3750859499
139	0.3750080272
140	0.3749612704
141	0.3742257945
142	0.3742152996
143	0.3740472557
144	0.3740237955
145	0.374020537
146	0.3739521878
147	0.3739292389
148	0.3737717826
149	0.3736855912
150	0.3736536896
151	0.3736432032
152	0.3736246265
153	0.3735963513
154	0.3735740108
155	0.3735539632
156	0.3734973651
157	0.3734298739
158	0.3733202616
159	0.3729953249
160	0.3729745717
161	0.3729107626
162	0.3728912929
163	0.3728427971
164	0.3727888234
165	0.3727181268
166	0.372629219
167	0.3725753155
168	0.372524929
169	0.3723139743
170	0.3723093842
171	0.3723084218
172	0.3721428376
173	0.3720915121
174	0.3720452555
175	0.3719690036
176	0.3718966853
177	0.3718839431
178	0.3718802818
179	0.3717214508
180	0.3716573426
181	0.3716550603
182	0.3716457281
183	0.3716019204
184	0.3714931311
185	0.3712463933
186	0.3712215945
187	0.3707379211
188	0.3699179413
189	0.3695406123
190	0.3695093317
191	0.3688782429
192	0.368861497
193	0.3688447226
194	0.368840903
195	0.3687838126
196	0.3687408953
197	0.368542886
198	0.3684896467
199	0.3684698422
200	0.3683882698
201	0.3683601859
202	0.3683592738
203	0.368346099
204	0.3683442869
205	0.3681494353
206	0.3681153939
207	0.3680968978
208	0.3679964815
209	0.3679055988
210	0.3679005892
211	0.3678401239
212	0.3674355925
213	0.3674204633
214	0.3673893961
215	0.367309706
216	0.3672221586
217	0.3670762401
218	0.3670600807
219	0.36705767
220	0.3670343309
221	0.36688771
222	0.366886725
223	0.3668774155
224	0.3668756503
225	0.3665661499
226	0.3664806421
227	0.3664185298
228	0.366382031
229	0.3662608535
230	0.3656169006
231	0.3655678818
232	0.3655451941
233	0.3655367673
234	0.3654406847
235	0.3653958697
236	0.3653751037
237	0.3653645923
238	0.365339077
239	0.365204158
240	0.3651729042
241	0.3651427595
242	0.3651266432
243	0.3644620617
244	0.3644255447
245	0.3643311249
246	0.3643166534
247	0.364292223
248	0.3642559693
249	0.3641723736
250	0.3641679245
251	0.363509087
252	0.3634607018
253	0.3634118965
254	0.3633866119
255	0.363376033
256	0.3633657751
257	0.363328128
