iter	Passed	Remaining
0	0	181
1	1	156
2	1	145
3	2	136
4	2	134
5	3	130
6	3	128
7	4	126
8	4	124
9	4	123
10	5	122
11	5	120
12	6	120
13	6	119
14	7	118
15	7	117
16	8	117
17	8	116
18	9	115
19	9	114
20	10	114
21	10	113
22	11	113
23	11	112
24	12	112
25	12	111
26	12	110
27	13	110
28	13	109
29	14	109
30	14	108
31	15	108
32	15	107
33	16	107
34	16	106
35	17	106
36	17	105
37	18	105
38	18	104
39	19	104
40	19	103
41	20	103
42	20	102
43	20	102
44	21	101
45	21	101
46	22	100
47	22	99
48	23	99
49	23	99
50	24	98
51	24	97
52	25	97
53	25	96
54	26	96
55	26	95
56	27	95
57	27	94
58	28	94
59	28	93
60	28	93
61	29	92
62	29	92
63	30	91
64	30	91
65	31	90
66	31	90
67	32	89
68	32	89
69	33	88
70	33	88
71	34	88
72	34	87
73	35	87
74	35	86
75	35	86
76	36	85
77	36	85
78	37	84
79	37	84
80	38	83
81	38	83
82	39	82
83	39	82
84	40	81
85	40	81
86	41	80
87	41	80
88	42	79
89	42	79
90	42	78
91	43	78
92	43	77
93	44	77
94	44	76
95	45	76
96	45	75
97	46	75
98	46	74
99	47	74
100	47	73
101	48	73
102	48	73
103	49	72
104	49	72
105	49	71
106	50	71
107	50	70
108	51	70
109	51	69
110	52	69
111	52	68
112	53	68
113	53	67
114	54	67
115	54	66
116	55	66
117	55	65
118	55	65
119	56	64
120	56	64
121	57	63
122	57	63
123	58	63
124	58	62
125	59	62
126	59	61
127	60	61
128	60	60
129	61	60
130	61	59
131	62	59
132	62	58
133	63	58
134	63	57
135	63	57
136	64	56
137	64	56
138	65	55
139	65	55
140	66	55
141	66	54
142	67	54
143	67	53
144	68	53
145	68	52
146	69	52
147	69	51
148	70	51
149	70	50
150	70	50
151	71	49
152	71	49
153	72	48
154	72	48
155	73	47
156	73	47
157	74	46
158	74	46
159	75	46
160	75	45
161	76	45
162	76	44
163	77	44
164	77	43
165	77	43
166	78	42
167	78	42
168	79	41
169	79	41
170	80	40
171	80	40
172	81	39
173	81	39
174	82	38
175	82	38
176	83	38
177	83	37
178	84	37
179	84	36
180	85	36
181	85	35
182	85	35
183	86	34
184	86	34
185	87	33
186	87	33
187	88	32
188	88	32
189	89	31
190	89	31
191	90	30
192	90	30
193	91	30
194	91	29
195	92	29
196	92	28
197	92	28
198	93	27
199	93	27
200	94	26
201	94	26
202	95	25
203	95	25
204	96	24
205	96	24
206	97	23
207	97	23
208	98	23
209	98	22
210	99	22
211	99	21
212	100	21
213	100	20
214	100	20
215	101	19
216	101	19
217	102	18
218	102	18
219	103	17
220	103	17
221	104	16
222	104	16
223	105	15
224	105	15
225	106	15
226	106	14
227	106	14
228	107	13
229	107	13
230	108	12
231	108	12
232	109	11
233	109	11
234	110	10
235	110	10
236	111	9
237	111	9
238	112	8
239	112	8
240	112	7
241	113	7
242	113	7
243	114	6
244	114	6
245	115	5
246	115	5
247	116	4
248	116	4
249	117	3
250	117	3
251	118	2
252	118	2
253	119	1
254	119	1
255	119	0
256	120	0
257	120	0
