iter	RMSE
0	0.444374749
1	0.4427240847
2	0.4410528414
3	0.4394799265
4	0.4380241938
5	0.436622769
6	0.4352026413
7	0.4338562112
8	0.4325823889
9	0.4313405002
10	0.4301664028
11	0.4290232339
12	0.4279092293
13	0.4268091176
14	0.4256641531
15	0.4246490894
16	0.4236220799
17	0.4226561436
18	0.4216290957
19	0.4207348304
20	0.4196682713
21	0.4180544705
22	0.4172401877
23	0.4160178922
24	0.4152616802
25	0.4145130018
26	0.4131962186
27	0.4125527058
28	0.411835422
29	0.4112310152
30	0.4106444438
31	0.4100530506
32	0.4094817076
33	0.4079440685
34	0.407438862
35	0.4069075278
36	0.4064264736
37	0.4059262708
38	0.4053121383
39	0.4048619429
40	0.404393413
41	0.403930391
42	0.403495561
43	0.4030365924
44	0.4026437724
45	0.4016401861
46	0.4004029564
47	0.4000276133
48	0.3996925502
49	0.3993539954
50	0.3990619812
51	0.3987381053
52	0.3982528189
53	0.3978852623
54	0.3976232762
55	0.3973491293
56	0.397096609
57	0.3968356639
58	0.3965023902
59	0.3962966636
60	0.3956597242
61	0.395435516
62	0.3949226841
63	0.3947156266
64	0.3944868614
65	0.3940866348
66	0.3939062938
67	0.3937058991
68	0.3935369373
69	0.3933798114
70	0.3932169428
71	0.3930552345
72	0.3928077306
73	0.3917237159
74	0.3915853904
75	0.3913848766
76	0.3912379363
77	0.3910977814
78	0.3909541224
79	0.3908116919
80	0.390603677
81	0.3904755419
82	0.3902954801
83	0.3893346025
84	0.3892230483
85	0.3891152571
86	0.3889901529
87	0.3888943513
88	0.3887999483
89	0.3887137622
90	0.3885576557
91	0.3883801315
92	0.3883023801
93	0.3882170866
94	0.3880494894
95	0.3871869304
96	0.3862803351
97	0.386165201
98	0.3852975983
99	0.385229623
100	0.3851111211
101	0.3850574744
102	0.3841803574
103	0.3841329228
104	0.3840716985
105	0.3840025398
106	0.3839624453
107	0.383841727
108	0.3837805259
109	0.3835396137
110	0.3833517996
111	0.3832974724
112	0.3832296809
113	0.3831993182
114	0.3831455115
115	0.3831039541
116	0.3822632796
117	0.38222148
118	0.3821219254
119	0.382089538
120	0.3820459067
121	0.3819634491
122	0.3819225798
123	0.3818852039
124	0.381835805
125	0.3815751674
126	0.3815261017
127	0.3814806687
128	0.3806975682
129	0.3806682293
130	0.3806287467
131	0.3805831707
132	0.3805204716
133	0.3804922932
134	0.3804525448
135	0.3803760473
136	0.3803381896
137	0.3803110282
138	0.3802857433
139	0.3802556243
140	0.3802186478
141	0.380177244
142	0.3796394454
143	0.3794480199
144	0.3794145225
145	0.3794027249
146	0.3793689577
147	0.3793246096
148	0.3792546922
149	0.3792228437
150	0.379185191
151	0.379139416
152	0.3791264607
153	0.3790769126
154	0.3788529027
155	0.3788395074
156	0.378819827
157	0.3787947941
158	0.3787521052
159	0.3787436621
160	0.3786908886
161	0.378648601
162	0.3786249793
163	0.3785813151
164	0.3784347607
165	0.3784157889
166	0.3783907915
167	0.3783630812
168	0.3782821321
169	0.3781254701
170	0.378105807
171	0.3780547322
172	0.3780235431
173	0.3780193242
174	0.3772227042
175	0.3771940333
176	0.3771385176
177	0.3771206302
178	0.3771162589
179	0.3770802594
180	0.3769975585
181	0.3769808424
182	0.3769390863
183	0.376932418
184	0.3768620913
185	0.3768061383
186	0.3767998172
187	0.376789136
188	0.3767670375
189	0.376706497
190	0.3766860523
191	0.3766616184
192	0.3764765133
193	0.3764431134
194	0.3764147937
195	0.3763786042
196	0.3762842484
197	0.3762632557
198	0.3762361474
199	0.3762139391
200	0.3762025939
201	0.3761822442
202	0.3761629573
203	0.3760542219
204	0.3759835565
205	0.3758034874
206	0.3757172791
207	0.3756359812
208	0.375612498
209	0.3755905258
210	0.3755025658
211	0.3754638707
212	0.3754605824
213	0.3754520715
214	0.3749842724
215	0.374950723
216	0.3748758479
217	0.3745191569
218	0.3744622172
219	0.3740222947
220	0.3739750096
221	0.3739664968
222	0.3739533516
223	0.3732295069
224	0.3732118342
225	0.3731944026
226	0.3730625826
227	0.3730385195
228	0.3730249636
229	0.3729761124
230	0.3729611074
231	0.3729555956
232	0.372906311
233	0.3726780823
234	0.3726769458
235	0.372584017
236	0.3725296744
237	0.371846942
238	0.371758545
239	0.3716880159
240	0.3716535539
241	0.3713372672
242	0.3706720459
243	0.3706450356
244	0.3706275734
245	0.3705990837
246	0.3705768362
247	0.3705301041
248	0.3704818566
249	0.3704766489
250	0.3703910547
251	0.3703149969
252	0.3702887061
253	0.3697219825
254	0.3696737303
255	0.3693121284
256	0.369280143
257	0.3692644325
