iter	Passed	Remaining
0	6	1797
1	8	1050
2	9	796
3	10	668
4	11	590
5	12	531
6	13	484
7	14	452
8	15	427
9	16	408
10	17	387
11	18	369
12	19	358
13	19	345
14	20	333
15	21	329
16	22	323
17	23	316
18	24	309
19	25	303
20	26	297
21	27	291
22	28	286
23	29	284
24	30	280
25	31	277
26	32	274
27	33	272
28	34	269
29	35	266
30	36	264
31	37	262
32	38	261
33	39	259
34	40	258
35	41	255
36	42	253
37	43	252
38	44	251
39	45	250
40	47	249
41	48	249
42	49	248
43	50	247
44	51	245
45	53	244
46	54	244
47	55	242
48	56	239
49	57	239
50	58	237
51	59	235
52	60	234
53	61	232
54	62	231
55	63	230
56	64	227
57	65	226
58	66	224
59	67	223
60	68	221
61	69	219
62	70	218
63	71	216
64	72	215
65	73	214
66	74	213
67	75	211
68	76	209
69	77	207
70	77	205
71	78	203
72	79	201
73	80	199
74	80	197
75	81	195
76	82	193
77	83	191
78	83	189
79	84	188
80	85	186
81	85	184
82	86	182
83	87	181
84	88	179
85	88	177
86	89	176
87	90	174
88	91	173
89	91	171
90	92	169
91	93	168
92	94	166
93	94	165
94	95	163
95	96	162
96	97	161
97	97	159
98	98	158
99	99	156
100	99	155
101	100	153
102	101	152
103	102	151
104	102	149
105	103	148
106	104	146
107	104	145
108	105	144
109	106	142
110	107	141
111	107	140
112	108	139
113	109	138
114	110	136
115	110	135
116	111	134
117	112	133
118	112	131
119	113	130
120	114	129
121	115	128
122	115	127
123	116	126
124	117	125
125	119	124
126	120	123
127	120	122
128	121	121
129	122	120
130	123	119
131	124	118
132	125	118
133	126	116
134	127	116
135	128	115
136	129	114
137	130	113
138	131	112
139	132	111
140	133	110
141	134	109
142	135	108
143	136	107
144	137	106
145	138	105
146	138	104
147	139	103
148	140	102
149	141	101
150	141	100
151	142	99
152	143	98
153	144	97
154	144	96
155	145	95
156	146	94
157	146	93
158	147	91
159	148	90
160	149	89
161	149	88
162	150	87
163	151	86
164	152	85
165	152	84
166	153	83
167	154	82
168	155	81
169	155	80
170	156	79
171	157	78
172	157	77
173	158	76
174	159	75
175	160	74
176	160	73
177	161	72
178	162	71
179	163	70
180	163	69
181	164	68
182	165	67
183	165	66
184	166	65
185	167	64
186	168	63
187	168	62
188	169	61
189	170	60
190	170	59
191	171	59
192	172	58
193	173	57
194	174	56
195	174	55
196	175	54
197	176	53
198	176	52
199	177	51
200	178	50
201	179	49
202	179	48
203	180	47
204	181	46
205	182	45
206	182	45
207	183	44
208	184	43
209	184	42
210	185	41
211	186	40
212	186	39
213	187	38
214	187	37
215	188	36
216	189	35
217	190	34
218	190	33
219	191	33
220	192	32
221	193	31
222	193	30
223	194	29
224	195	28
225	195	27
226	196	26
227	197	25
228	198	25
229	198	24
230	199	23
231	200	22
232	201	21
233	201	20
234	202	19
235	203	18
236	203	18
237	204	17
238	205	16
239	206	15
240	206	14
241	207	13
242	208	12
243	208	11
244	209	11
245	210	10
246	211	9
247	211	8
248	212	7
249	213	6
250	213	5
251	214	5
252	215	4
253	215	3
254	216	2
255	217	1
256	218	0
257	218	0
